id,name,type_1,type_2,hp,attack,defense,sp_atk,sp_def,speed,legendary
1,Bulbasaur,Grass,Poison,"45,00","49,00","49,00","65,00","65,00","45,00",FALSE
2,Ivysaur,Grass,Poison,"60,00","62,00","63,00","80,00","80,00","60,00",FALSE
3,Venusaur,Grass,Poison,"80,00","82,00","83,00","100,00","100,00","80,00",FALSE
3,VenusaurMega Venusaur,Grass,Poison,"80,00","100,00","123,00","122,00","120,00","80,00",FALSE
4,Charmander,Fire,,"39,00","52,00","43,00","60,00","50,00","65,00",FALSE
5,Charmeleon,Fire,,"58,00","64,00","58,00","80,00","65,00","80,00",FALSE
6,Charizard,Fire,Flying,"78,00","84,00","78,00","109,00","85,00","100,00",FALSE
6,CharizardMega Charizard X,Fire,Dragon,"78,00","130,00","111,00","130,00","85,00","100,00",FALSE
6,CharizardMega Charizard Y,Fire,Flying,"78,00","104,00","78,00","159,00","115,00","100,00",FALSE
7,Squirtle,Water,,"44,00","48,00","65,00","50,00","64,00","43,00",FALSE
8,Wartortle,Water,,"59,00","63,00","80,00","65,00","80,00","58,00",FALSE
9,Blastoise,Water,,"79,00","83,00","100,00","85,00","105,00","78,00",FALSE
9,BlastoiseMega Blastoise,Water,,"79,00","103,00","120,00","135,00","115,00","78,00",FALSE
10,Caterpie,Bug,,"45,00","30,00","35,00","20,00","20,00","45,00",FALSE
11,Metapod,Bug,,"50,00","20,00","55,00","25,00","25,00","30,00",FALSE
12,Butterfree,Bug,Flying,"60,00","45,00","50,00","90,00","80,00","70,00",FALSE
13,Weedle,Bug,Poison,"40,00","35,00","30,00","20,00","20,00","50,00",FALSE
14,Kakuna,Bug,Poison,"45,00","25,00","50,00","25,00","25,00","35,00",FALSE
15,Beedrill,Bug,Poison,"65,00","90,00","40,00","45,00","80,00","75,00",FALSE
15,BeedrillMega Beedrill,Bug,Poison,"65,00","150,00","40,00","15,00","80,00","145,00",FALSE
16,Pidgey,Normal,Flying,"40,00","45,00","40,00","35,00","35,00","56,00",FALSE
17,Pidgeotto,Normal,Flying,"63,00","60,00","55,00","50,00","50,00","71,00",FALSE
18,Pidgeot,Normal,Flying,"83,00","80,00","75,00","70,00","70,00","101,00",FALSE
18,PidgeotMega Pidgeot,Normal,Flying,"83,00","80,00","80,00","135,00","80,00","121,00",FALSE
19,Rattata,Normal,,"30,00","56,00","35,00","25,00","35,00","72,00",FALSE
20,Raticate,Normal,,"55,00","81,00","60,00","50,00","70,00","97,00",FALSE
21,Spearow,Normal,Flying,"40,00","60,00","30,00","31,00","31,00","70,00",FALSE
22,Fearow,Normal,Flying,"65,00","90,00","65,00","61,00","61,00","100,00",FALSE
23,Ekans,Poison,,"35,00","60,00","44,00","40,00","54,00","55,00",FALSE
24,Arbok,Poison,,"60,00","85,00","69,00","65,00","79,00","80,00",FALSE
25,Pikachu,Electric,,"35,00","55,00","40,00","50,00","50,00","90,00",FALSE
26,Raichu,Electric,,"60,00","90,00","55,00","90,00","80,00","110,00",FALSE
27,Sandshrew,Ground,,"50,00","75,00","85,00","20,00","30,00","40,00",FALSE
28,Sandslash,Ground,,"75,00","100,00","110,00","45,00","55,00","65,00",FALSE
29,Nidoran♀,Poison,,"55,00","47,00","52,00","40,00","40,00","41,00",FALSE
30,Nidorina,Poison,,"70,00","62,00","67,00","55,00","55,00","56,00",FALSE
31,Nidoqueen,Poison,Ground,"90,00","92,00","87,00","75,00","85,00","76,00",FALSE
32,Nidoran♂,Poison,,"46,00","57,00","40,00","40,00","40,00","50,00",FALSE
33,Nidorino,Poison,,"61,00","72,00","57,00","55,00","55,00","65,00",FALSE
