id,name,type_1,type_2,hp,attack,defense,sp_atk,sp_def,speed,legendary
650,Chespin,Grass,,"56,00","61,00","65,00","48,00","45,00","38,00",FALSE
651,Quilladin,Grass,,"61,00","78,00","95,00","56,00","58,00","57,00",FALSE
652,Chesnaught,Grass,Fighting,"88,00","107,00","122,00","74,00","75,00","64,00",FALSE
653,Fennekin,Fire,,"40,00","45,00","40,00","62,00","60,00","60,00",FALSE
654,Braixen,Fire,,"59,00","59,00","58,00","90,00","70,00","73,00",FALSE
655,Delphox,Fire,Psychic,"75,00","69,00","72,00","114,00","100,00","104,00",FALSE
656,Froakie,Water,,"41,00","56,00","40,00","62,00","44,00","71,00",FALSE
657,Frogadier,Water,,"54,00","63,00","52,00","83,00","56,00","97,00",FALSE
658,Greninja,Water,Dark,"72,00","95,00","67,00","103,00","71,00","122,00",FALSE
659,Bunnelby,Normal,,"38,00","36,00","38,00","32,00","36,00","57,00",FALSE
660,Diggersby,Normal,Ground,"85,00","56,00","77,00","50,00","77,00","78,00",FALSE
661,Fletchling,Normal,Flying,"45,00","50,00","43,00","40,00","38,00","62,00",FALSE
662,Fletchinder,Fire,Flying,"62,00","73,00","55,00","56,00","52,00","84,00",FALSE
663,Talonflame,Fire,Flying,"78,00","81,00","71,00","74,00","69,00","126,00",FALSE
664,Scatterbug,Bug,,"38,00","35,00","40,00","27,00","25,00","35,00",FALSE
665,Spewpa,Bug,,"45,00","22,00","60,00","27,00","30,00","29,00",FALSE
666,Vivillon,Bug,Flying,"80,00","52,00","50,00","90,00","50,00","89,00",FALSE
667,Litleo,Fire,Normal,"62,00","50,00","58,00","73,00","54,00","72,00",FALSE
668,Pyroar,Fire,Normal,"86,00","68,00","72,00","109,00","66,00","106,00",FALSE
669,Flabébé,Fairy,,"44,00","38,00","39,00","61,00","79,00","42,00",FALSE
670,Floette,Fairy,,"54,00","45,00","47,00","75,00","98,00","52,00",FALSE
671,Florges,Fairy,,"78,00","65,00","68,00","112,00","154,00","75,00",FALSE
672,Skiddo,Grass,,"66,00","65,00","48,00","62,00","57,00","52,00",FALSE
673,Gogoat,Grass,,"123,00","100,00","62,00","97,00","81,00","68,00",FALSE
674,Pancham,Fighting,,"67,00","82,00","62,00","46,00","48,00","43,00",FALSE
675,Pangoro,Fighting,Dark,"95,00","124,00","78,00","69,00","71,00","58,00",FALSE
676,Furfrou,Normal,,"75,00","80,00","60,00","65,00","90,00","102,00",FALSE
677,Espurr,Psychic,,"62,00","48,00","54,00","63,00","60,00","68,00",FALSE
678,MeowsticMale,Psychic,,"74,00","48,00","76,00","83,00","81,00","104,00",FALSE
678,MeowsticFemale,Psychic,,"74,00","48,00","76,00","83,00","81,00","104,00",FALSE
679,Honedge,Steel,Ghost,"45,00","80,00","100,00","35,00","37,00","28,00",FALSE
680,Doublade,Steel,Ghost,"59,00","110,00","150,00","45,00","49,00","35,00",FALSE
681,AegislashBlade Forme,Steel,Ghost,"60,00","150,00","50,00","150,00","50,00","60,00",FALSE
681,AegislashShield Forme,Steel,Ghost,"60,00","50,00","150,00","50,00","150,00","60,00",FALSE
682,Spritzee,Fairy,,"78,00","52,00","60,00","63,00","65,00","23,00",FALSE
683,Aromatisse,Fairy,,"101,00","72,00","72,00","99,00","89,00","29,00",FALSE
684,Swirlix,Fairy,,"62,00","48,00","66,00","59,00","57,00","49,00",FALSE
685,Slurpuff,Fairy,,"82,00","80,00","86,00","85,00","75,00","72,00",FALSE
686,Inkay,Dark,Psychic,"53,00","54,00","53,00","37,00","46,00","45,00",FALSE
687,Malamar,Dark,Psychic,"86,00","92,00","88,00","68,00","75,00","73,00",FALSE
688,Binacle,Rock,Water,"42,00","52,00","67,00","39,00","56,00","50,00",FALSE
689,Barbaracle,Rock,Water,"72,00","105,00","115,00","54,00","86,00","68,00",FALSE
690,Skrelp,Poison,Water,"50,00","60,00","60,00","60,00","60,00","30,00",FALSE
691,Dragalge,Poison,Dragon,"65,00","75,00","90,00","97,00","123,00","44,00",FALSE
692,Clauncher,Water,,"50,00","53,00","62,00","58,00","63,00","44,00",FALSE
693,Clawitzer,Water,,"71,00","73,00","88,00","120,00","89,00","59,00",FALSE
694,Helioptile,Electric,Normal,"44,00","38,00","33,00","61,00","43,00","70,00",FALSE
695,Heliolisk,Electric,Normal,"62,00","55,00","52,00","109,00","94,00","109,00",FALSE
696,Tyrunt,Rock,Dragon,"58,00","89,00","77,00","45,00","45,00","48,00",FALSE
697,Tyrantrum,Rock,Dragon,"82,00","121,00","119,00","69,00","59,00","71,00",FALSE
698,Amaura,Rock,Ice,"77,00","59,00","50,00","67,00","63,00","46,00",FALSE
699,Aurorus,Rock,Ice,"123,00","77,00","72,00","99,00","92,00","58,00",FALSE
700,Sylveon,Fairy,,"95,00","65,00","65,00","110,00","130,00","60,00",FALSE
701,Hawlucha,Fighting,Flying,"78,00","92,00","75,00","74,00","63,00","118,00",FALSE
702,Dedenne,Electric,Fairy,"67,00","58,00","57,00","81,00","67,00","101,00",FALSE
703,Carbink,Rock,Fairy,"50,00","50,00","150,00","50,00","150,00","50,00",FALSE
704,Goomy,Dragon,,"45,00","50,00","35,00","55,00","75,00","40,00",FALSE
705,Sliggoo,Dragon,,"68,00","75,00","53,00","83,00","113,00","60,00",FALSE
706,Goodra,Dragon,,"90,00","100,00","70,00","110,00","150,00","80,00",FALSE
707,Klefki,Steel,Fairy,"57,00","80,00","91,00","80,00","87,00","75,00",FALSE
708,Phantump,Ghost,Grass,"43,00","70,00","48,00","50,00","60,00","38,00",FALSE
709,Trevenant,Ghost,Grass,"85,00","110,00","76,00","65,00","82,00","56,00",FALSE
710,PumpkabooAverage Size,Ghost,Grass,"49,00","66,00","70,00","44,00","55,00","51,00",FALSE
710,PumpkabooSmall Size,Ghost,Grass,"44,00","66,00","70,00","44,00","55,00","56,00",FALSE
710,PumpkabooLarge Size,Ghost,Grass,"54,00","66,00","70,00","44,00","55,00","46,00",FALSE
710,PumpkabooSuper Size,Ghost,Grass,"59,00","66,00","70,00","44,00","55,00","41,00",FALSE
711,GourgeistAverage Size,Ghost,Grass,"65,00","90,00","122,00","58,00","75,00","84,00",FALSE
711,GourgeistSmall Size,Ghost,Grass,"55,00","85,00","122,00","58,00","75,00","99,00",FALSE
711,GourgeistLarge Size,Ghost,Grass,"75,00","95,00","122,00","58,00","75,00","69,00",FALSE
711,GourgeistSuper Size,Ghost,Grass,"85,00","100,00","122,00","58,00","75,00","54,00",FALSE
712,Bergmite,Ice,,"55,00","69,00","85,00","32,00","35,00","28,00",FALSE
713,Avalugg,Ice,,"95,00","117,00","184,00","44,00","46,00","28,00",FALSE
714,Noibat,Flying,Dragon,"40,00","30,00","35,00","45,00","40,00","55,00",FALSE
715,Noivern,Flying,Dragon,"85,00","70,00","80,00","97,00","80,00","123,00",FALSE
716,Xerneas,Fairy,,"126,00","131,00","95,00","131,00","98,00","99,00",TRUE
717,Yveltal,Dark,Flying,"126,00","131,00","95,00","131,00","98,00","99,00",TRUE
718,Zygarde50% Forme,Dragon,Ground,"108,00","100,00","121,00","81,00","95,00","95,00",TRUE
719,Diancie,Rock,Fairy,"50,00","100,00","150,00","100,00","150,00","50,00",TRUE
719,DiancieMega Diancie,Rock,Fairy,"50,00","160,00","110,00","160,00","110,00","110,00",TRUE
720,HoopaHoopa Confined,Psychic,Ghost,"80,00","110,00","60,00","150,00","130,00","70,00",TRUE
720,HoopaHoopa Unbound,Psychic,Dark,"80,00","160,00","60,00","170,00","130,00","80,00",TRUE
721,Volcanion,Fire,Water,"80,00","110,00","120,00","130,00","90,00","70,00",TRUE
