id,name,type_1,type_2,hp,attack,defense,sp_atk,sp_def,speed,legendary
252,Treecko,Grass,,"40,00","45,00","35,00","65,00","55,00","70,00",FALSE
253,Grovyle,Grass,,"50,00","65,00","45,00","85,00","65,00","95,00",FALSE
254,Sceptile,Grass,,"70,00","85,00","65,00","105,00","85,00","120,00",FALSE
254,SceptileMega Sceptile,Grass,Dragon,"70,00","110,00","75,00","145,00","85,00","145,00",FALSE
255,Torchic,Fire,,"45,00","60,00","40,00","70,00","50,00","45,00",FALSE
256,Combusken,Fire,Fighting,"60,00","85,00","60,00","85,00","60,00","55,00",FALSE
257,Blaziken,Fire,Fighting,"80,00","120,00","70,00","110,00","70,00","80,00",FALSE
257,BlazikenMega Blaziken,Fire,Fighting,"80,00","160,00","80,00","130,00","80,00","100,00",FALSE
258,Mudkip,Water,,"50,00","70,00","50,00","50,00","50,00","40,00",FALSE
259,Marshtomp,Water,Ground,"70,00","85,00","70,00","60,00","70,00","50,00",FALSE
260,Swampert,Water,Ground,"100,00","110,00","90,00","85,00","90,00","60,00",FALSE
260,SwampertMega Swampert,Water,Ground,"100,00","150,00","110,00","95,00","110,00","70,00",FALSE
261,Poochyena,Dark,,"35,00","55,00","35,00","30,00","30,00","35,00",FALSE
262,Mightyena,Dark,,"70,00","90,00","70,00","60,00","60,00","70,00",FALSE
263,Zigzagoon,Normal,,"38,00","30,00","41,00","30,00","41,00","60,00",FALSE
264,Linoone,Normal,,"78,00","70,00","61,00","50,00","61,00","100,00",FALSE
265,Wurmple,Bug,,"45,00","45,00","35,00","20,00","30,00","20,00",FALSE
266,Silcoon,Bug,,"50,00","35,00","55,00","25,00","25,00","15,00",FALSE
267,Beautifly,Bug,Flying,"60,00","70,00","50,00","100,00","50,00","65,00",FALSE
268,Cascoon,Bug,,"50,00","35,00","55,00","25,00","25,00","15,00",FALSE
269,Dustox,Bug,Poison,"60,00","50,00","70,00","50,00","90,00","65,00",FALSE
270,Lotad,Water,Grass,"40,00","30,00","30,00","40,00","50,00","30,00",FALSE
271,Lombre,Water,Grass,"60,00","50,00","50,00","60,00","70,00","50,00",FALSE
272,Ludicolo,Water,Grass,"80,00","70,00","70,00","90,00","100,00","70,00",FALSE
273,Seedot,Grass,,"40,00","40,00","50,00","30,00","30,00","30,00",FALSE
274,Nuzleaf,Grass,Dark,"70,00","70,00","40,00","60,00","40,00","60,00",FALSE
275,Shiftry,Grass,Dark,"90,00","100,00","60,00","90,00","60,00","80,00",FALSE
276,Taillow,Normal,Flying,"40,00","55,00","30,00","30,00","30,00","85,00",FALSE
277,Swellow,Normal,Flying,"60,00","85,00","60,00","50,00","50,00","125,00",FALSE
278,Wingull,Water,Flying,"40,00","30,00","30,00","55,00","30,00","85,00",FALSE
279,Pelipper,Water,Flying,"60,00","50,00","100,00","85,00","70,00","65,00",FALSE
280,Ralts,Psychic,Fairy,"28,00","25,00","25,00","45,00","35,00","40,00",FALSE
281,Kirlia,Psychic,Fairy,"38,00","35,00","35,00","65,00","55,00","50,00",FALSE
282,Gardevoir,Psychic,Fairy,"68,00","65,00","65,00","125,00","115,00","80,00",FALSE
282,GardevoirMega Gardevoir,Psychic,Fairy,"68,00","85,00","65,00","165,00","135,00","100,00",FALSE
283,Surskit,Bug,Water,"40,00","30,00","32,00","50,00","52,00","65,00",FALSE
284,Masquerain,Bug,Flying,"70,00","60,00","62,00","80,00","82,00","60,00",FALSE
285,Shroomish,Grass,,"60,00","40,00","60,00","40,00","60,00","35,00",FALSE
286,Breloom,Grass,Fighting,"60,00","130,00","80,00","60,00","60,00","70,00",FALSE
287,Slakoth,Normal,,"60,00","60,00","60,00","35,00","35,00","30,00",FALSE
288,Vigoroth,Normal,,"80,00","80,00","80,00","55,00","55,00","90,00",FALSE
289,Slaking,Normal,,"150,00","160,00","100,00","95,00","65,00","100,00",FALSE
290,Nincada,Bug,Ground,"31,00","45,00","90,00","30,00","30,00","40,00",FALSE
291,Ninjask,Bug,Flying,"61,00","90,00","45,00","50,00","50,00","160,00",FALSE
292,Shedinja,Bug,Ghost,"1,00","90,00","45,00","30,00","30,00","40,00",FALSE
293,Whismur,Normal,,"64,00","51,00","23,00","51,00","23,00","28,00",FALSE
294,Loudred,Normal,,"84,00","71,00","43,00","71,00","43,00","48,00",FALSE
295,Exploud,Normal,,"104,00","91,00","63,00","91,00","73,00","68,00",FALSE
296,Makuhita,Fighting,,"72,00","60,00","30,00","20,00","30,00","25,00",FALSE
297,Hariyama,Fighting,,"144,00","120,00","60,00","40,00","60,00","50,00",FALSE
298,Azurill,Normal,Fairy,"50,00","20,00","40,00","20,00","40,00","20,00",FALSE
299,Nosepass,Rock,,"30,00","45,00","135,00","45,00","90,00","30,00",FALSE
300,Skitty,Normal,,"50,00","45,00","45,00","35,00","35,00","50,00",FALSE
301,Delcatty,Normal,,"70,00","65,00","65,00","55,00","55,00","70,00",FALSE
302,Sableye,Dark,Ghost,"50,00","75,00","75,00","65,00","65,00","50,00",FALSE
302,SableyeMega Sableye,Dark,Ghost,"50,00","85,00","125,00","85,00","115,00","20,00",FALSE
303,Mawile,Steel,Fairy,"50,00","85,00","85,00","55,00","55,00","50,00",FALSE
303,MawileMega Mawile,Steel,Fairy,"50,00","105,00","125,00","55,00","95,00","50,00",FALSE
304,Aron,Steel,Rock,"50,00","70,00","100,00","40,00","40,00","30,00",FALSE
305,Lairon,Steel,Rock,"60,00","90,00","140,00","50,00","50,00","40,00",FALSE
306,Aggron,Steel,Rock,"70,00","110,00","180,00","60,00","60,00","50,00",FALSE
306,AggronMega Aggron,Steel,,"70,00","140,00","230,00","60,00","80,00","50,00",FALSE
307,Meditite,Fighting,Psychic,"30,00","40,00","55,00","40,00","55,00","60,00",FALSE
308,Medicham,Fighting,Psychic,"60,00","60,00","75,00","60,00","75,00","80,00",FALSE
308,MedichamMega Medicham,Fighting,Psychic,"60,00","100,00","85,00","80,00","85,00","100,00",FALSE
309,Electrike,Electric,,"40,00","45,00","40,00","65,00","40,00","65,00",FALSE
310,Manectric,Electric,,"70,00","75,00","60,00","105,00","60,00","105,00",FALSE
310,ManectricMega Manectric,Electric,,"70,00","75,00","80,00","135,00","80,00","135,00",FALSE
311,Plusle,Electric,,"60,00","50,00","40,00","85,00","75,00","95,00",FALSE
312,Minun,Electric,,"60,00","40,00","50,00","75,00","85,00","95,00",FALSE
313,Volbeat,Bug,,"65,00","73,00","55,00","47,00","75,00","85,00",FALSE
314,Illumise,Bug,,"65,00","47,00","55,00","73,00","75,00","85,00",FALSE
315,Roselia,Grass,Poison,"50,00","60,00","45,00","100,00","80,00","65,00",FALSE
316,Gulpin,Poison,,"70,00","43,00","53,00","43,00","53,00","40,00",FALSE
317,Swalot,Poison,,"100,00","73,00","83,00","73,00","83,00","55,00",FALSE
318,Carvanha,Water,Dark,"45,00","90,00","20,00","65,00","20,00","65,00",FALSE
319,Sharpedo,Water,Dark,"70,00","120,00","40,00","95,00","40,00","95,00",FALSE
319,SharpedoMega Sharpedo,Water,Dark,"70,00","140,00","70,00","110,00","65,00","105,00",FALSE
320,Wailmer,Water,,"130,00","70,00","35,00","70,00","35,00","60,00",FALSE
321,Wailord,Water,,"170,00","90,00","45,00","90,00","45,00","60,00",FALSE
322,Numel,Fire,Ground,"60,00","60,00","40,00","65,00","45,00","35,00",FALSE
323,Camerupt,Fire,Ground,"70,00","100,00","70,00","105,00","75,00","40,00",FALSE
323,CameruptMega Camerupt,Fire,Ground,"70,00","120,00","100,00","145,00","105,00","20,00",FALSE
324,Torkoal,Fire,,"70,00","85,00","140,00","85,00","70,00","20,00",FALSE
325,Spoink,Psychic,,"60,00","25,00","35,00","70,00","80,00","60,00",FALSE
326,Grumpig,Psychic,,"80,00","45,00","65,00","90,00","110,00","80,00",FALSE
327,Spinda,Normal,,"60,00","60,00","60,00","60,00","60,00","60,00",FALSE
328,Trapinch,Ground,,"45,00","100,00","45,00","45,00","45,00","10,00",FALSE
329,Vibrava,Ground,Dragon,"50,00","70,00","50,00","50,00","50,00","70,00",FALSE
330,Flygon,Ground,Dragon,"80,00","100,00","80,00","80,00","80,00","100,00",FALSE
