id,name,type_1,type_2,hp,attack,defense,sp_atk,sp_def,speed,legendary
152,Chikorita,Grass,,"45,00","49,00","65,00","49,00","65,00","45,00",FALSE
153,Bayleef,Grass,,"60,00","62,00","80,00","63,00","80,00","60,00",FALSE
154,Meganium,Grass,,"80,00","82,00","100,00","83,00","100,00","80,00",FALSE
155,Cyndaquil,Fire,,"39,00","52,00","43,00","60,00","50,00","65,00",FALSE
156,Quilava,Fire,,"58,00","64,00","58,00","80,00","65,00","80,00",FALSE
157,Typhlosion,Fire,,"78,00","84,00","78,00","109,00","85,00","100,00",FALSE
158,Totodile,Water,,"50,00","65,00","64,00","44,00","48,00","43,00",FALSE
159,Croconaw,Water,,"65,00","80,00","80,00","59,00","63,00","58,00",FALSE
160,Feraligatr,Water,,"85,00","105,00","100,00","79,00","83,00","78,00",FALSE
161,Sentret,Normal,,"35,00","46,00","34,00","35,00","45,00","20,00",FALSE
162,Furret,Normal,,"85,00","76,00","64,00","45,00","55,00","90,00",FALSE
163,Hoothoot,Normal,Flying,"60,00","30,00","30,00","36,00","56,00","50,00",FALSE
164,Noctowl,Normal,Flying,"100,00","50,00","50,00","76,00","96,00","70,00",FALSE
165,Ledyba,Bug,Flying,"40,00","20,00","30,00","40,00","80,00","55,00",FALSE
166,Ledian,Bug,Flying,"55,00","35,00","50,00","55,00","110,00","85,00",FALSE
167,Spinarak,Bug,Poison,"40,00","60,00","40,00","40,00","40,00","30,00",FALSE
168,Ariados,Bug,Poison,"70,00","90,00","70,00","60,00","60,00","40,00",FALSE
169,Crobat,Poison,Flying,"85,00","90,00","80,00","70,00","80,00","130,00",FALSE
170,Chinchou,Water,Electric,"75,00","38,00","38,00","56,00","56,00","67,00",FALSE
171,Lanturn,Water,Electric,"125,00","58,00","58,00","76,00","76,00","67,00",FALSE
172,Pichu,Electric,,"20,00","40,00","15,00","35,00","35,00","60,00",FALSE
173,Cleffa,Fairy,,"50,00","25,00","28,00","45,00","55,00","15,00",FALSE
174,Igglybuff,Normal,Fairy,"90,00","30,00","15,00","40,00","20,00","15,00",FALSE
175,Togepi,Fairy,,"35,00","20,00","65,00","40,00","65,00","20,00",FALSE
176,Togetic,Fairy,Flying,"55,00","40,00","85,00","80,00","105,00","40,00",FALSE
177,Natu,Psychic,Flying,"40,00","50,00","45,00","70,00","45,00","70,00",FALSE
178,Xatu,Psychic,Flying,"65,00","75,00","70,00","95,00","70,00","95,00",FALSE
179,Mareep,Electric,,"55,00","40,00","40,00","65,00","45,00","35,00",FALSE
180,Flaaffy,Electric,,"70,00","55,00","55,00","80,00","60,00","45,00",FALSE
181,Ampharos,Electric,,"90,00","75,00","85,00","115,00","90,00","55,00",FALSE
181,AmpharosMega Ampharos,Electric,Dragon,"90,00","95,00","105,00","165,00","110,00","45,00",FALSE
182,Bellossom,Grass,,"75,00","80,00","95,00","90,00","100,00","50,00",FALSE
183,Marill,Water,Fairy,"70,00","20,00","50,00","20,00","50,00","40,00",FALSE
184,Azumarill,Water,Fairy,"100,00","50,00","80,00","60,00","80,00","50,00",FALSE
185,Sudowoodo,Rock,,"70,00","100,00","115,00","30,00","65,00","30,00",FALSE
186,Politoed,Water,,"90,00","75,00","75,00","90,00","100,00","70,00",FALSE
187,Hoppip,Grass,Flying,"35,00","35,00","40,00","35,00","55,00","50,00",FALSE
188,Skiploom,Grass,Flying,"55,00","45,00","50,00","45,00","65,00","80,00",FALSE
