id,name,type_1,type_2,hp,attack,defense,sp_atk,sp_def,speed,legendary
494,Victini,Psychic,Fire,"100,00","100,00","100,00","100,00","100,00","100,00",TRUE
495,Snivy,Grass,,"45,00","45,00","55,00","45,00","55,00","63,00",FALSE
496,Servine,Grass,,"60,00","60,00","75,00","60,00","75,00","83,00",FALSE
497,Serperior,Grass,,"75,00","75,00","95,00","75,00","95,00","113,00",FALSE
498,Tepig,Fire,,"65,00","63,00","45,00","45,00","45,00","45,00",FALSE
499,Pignite,Fire,Fighting,"90,00","93,00","55,00","70,00","55,00","55,00",FALSE
500,Emboar,Fire,Fighting,"110,00","123,00","65,00","100,00","65,00","65,00",FALSE
501,Oshawott,Water,,"55,00","55,00","45,00","63,00","45,00","45,00",FALSE
502,Dewott,Water,,"75,00","75,00","60,00","83,00","60,00","60,00",FALSE
503,Samurott,Water,,"95,00","100,00","85,00","108,00","70,00","70,00",FALSE
504,Patrat,Normal,,"45,00","55,00","39,00","35,00","39,00","42,00",FALSE
505,Watchog,Normal,,"60,00","85,00","69,00","60,00","69,00","77,00",FALSE
506,Lillipup,Normal,,"45,00","60,00","45,00","25,00","45,00","55,00",FALSE
507,Herdier,Normal,,"65,00","80,00","65,00","35,00","65,00","60,00",FALSE
508,Stoutland,Normal,,"85,00","110,00","90,00","45,00","90,00","80,00",FALSE
509,Purrloin,Dark,,"41,00","50,00","37,00","50,00","37,00","66,00",FALSE
510,Liepard,Dark,,"64,00","88,00","50,00","88,00","50,00","106,00",FALSE
511,Pansage,Grass,,"50,00","53,00","48,00","53,00","48,00","64,00",FALSE
512,Simisage,Grass,,"75,00","98,00","63,00","98,00","63,00","101,00",FALSE
513,Pansear,Fire,,"50,00","53,00","48,00","53,00","48,00","64,00",FALSE
514,Simisear,Fire,,"75,00","98,00","63,00","98,00","63,00","101,00",FALSE
515,Panpour,Water,,"50,00","53,00","48,00","53,00","48,00","64,00",FALSE
516,Simipour,Water,,"75,00","98,00","63,00","98,00","63,00","101,00",FALSE
517,Munna,Psychic,,"76,00","25,00","45,00","67,00","55,00","24,00",FALSE
518,Musharna,Psychic,,"116,00","55,00","85,00","107,00","95,00","29,00",FALSE
519,Pidove,Normal,Flying,"50,00","55,00","50,00","36,00","30,00","43,00",FALSE
520,Tranquill,Normal,Flying,"62,00","77,00","62,00","50,00","42,00","65,00",FALSE
521,Unfezant,Normal,Flying,"80,00","115,00","80,00","65,00","55,00","93,00",FALSE
522,Blitzle,Electric,,"45,00","60,00","32,00","50,00","32,00","76,00",FALSE
523,Zebstrika,Electric,,"75,00","100,00","63,00","80,00","63,00","116,00",FALSE
524,Roggenrola,Rock,,"55,00","75,00","85,00","25,00","25,00","15,00",FALSE
525,Boldore,Rock,,"70,00","105,00","105,00","50,00","40,00","20,00",FALSE
526,Gigalith,Rock,,"85,00","135,00","130,00","60,00","80,00","25,00",FALSE
527,Woobat,Psychic,Flying,"55,00","45,00","43,00","55,00","43,00","72,00",FALSE
528,Swoobat,Psychic,Flying,"67,00","57,00","55,00","77,00","55,00","114,00",FALSE
529,Drilbur,Ground,,"60,00","85,00","40,00","30,00","45,00","68,00",FALSE
530,Excadrill,Ground,Steel,"110,00","135,00","60,00","50,00","65,00","88,00",FALSE
531,Audino,Normal,,"103,00","60,00","86,00","60,00","86,00","50,00",FALSE
531,AudinoMega Audino,Normal,Fairy,"103,00","60,00","126,00","80,00","126,00","50,00",FALSE
532,Timburr,Fighting,,"75,00","80,00","55,00","25,00","35,00","35,00",FALSE
533,Gurdurr,Fighting,,"85,00","105,00","85,00","40,00","50,00","40,00",FALSE
534,Conkeldurr,Fighting,,"105,00","140,00","95,00","55,00","65,00","45,00",FALSE
535,Tympole,Water,,"50,00","50,00","40,00","50,00","40,00","64,00",FALSE
536,Palpitoad,Water,Ground,"75,00","65,00","55,00","65,00","55,00","69,00",FALSE
537,Seismitoad,Water,Ground,"105,00","95,00","75,00","85,00","75,00","74,00",FALSE
538,Throh,Fighting,,"120,00","100,00","85,00","30,00","85,00","45,00",FALSE
539,Sawk,Fighting,,"75,00","125,00","75,00","30,00","75,00","85,00",FALSE
540,Sewaddle,Bug,Grass,"45,00","53,00","70,00","40,00","60,00","42,00",FALSE
541,Swadloon,Bug,Grass,"55,00","63,00","90,00","50,00","80,00","42,00",FALSE
542,Leavanny,Bug,Grass,"75,00","103,00","80,00","70,00","80,00","92,00",FALSE
543,Venipede,Bug,Poison,"30,00","45,00","59,00","30,00","39,00","57,00",FALSE
544,Whirlipede,Bug,Poison,"40,00","55,00","99,00","40,00","79,00","47,00",FALSE
545,Scolipede,Bug,Poison,"60,00","100,00","89,00","55,00","69,00","112,00",FALSE
546,Cottonee,Grass,Fairy,"40,00","27,00","60,00","37,00","50,00","66,00",FALSE
547,Whimsicott,Grass,Fairy,"60,00","67,00","85,00","77,00","75,00","116,00",FALSE
548,Petilil,Grass,,"45,00","35,00","50,00","70,00","50,00","30,00",FALSE
549,Lilligant,Grass,,"70,00","60,00","75,00","110,00","75,00","90,00",FALSE
550,Basculin,Water,,"70,00","92,00","65,00","80,00","55,00","98,00",FALSE
551,Sandile,Ground,Dark,"50,00","72,00","35,00","35,00","35,00","65,00",FALSE
552,Krokorok,Ground,Dark,"60,00","82,00","45,00","45,00","45,00","74,00",FALSE
553,Krookodile,Ground,Dark,"95,00","117,00","80,00","65,00","70,00","92,00",FALSE
554,Darumaka,Fire,,"70,00","90,00","45,00","15,00","45,00","50,00",FALSE
555,DarmanitanStandard Mode,Fire,,"105,00","140,00","55,00","30,00","55,00","95,00",FALSE
555,DarmanitanZen Mode,Fire,Psychic,"105,00","30,00","105,00","140,00","105,00","55,00",FALSE
556,Maractus,Grass,,"75,00","86,00","67,00","106,00","67,00","60,00",FALSE
557,Dwebble,Bug,Rock,"50,00","65,00","85,00","35,00","35,00","55,00",FALSE
558,Crustle,Bug,Rock,"70,00","95,00","125,00","65,00","75,00","45,00",FALSE
559,Scraggy,Dark,Fighting,"50,00","75,00","70,00","35,00","70,00","48,00",FALSE
560,Scrafty,Dark,Fighting,"65,00","90,00","115,00","45,00","115,00","58,00",FALSE
561,Sigilyph,Psychic,Flying,"72,00","58,00","80,00","103,00","80,00","97,00",FALSE
562,Yamask,Ghost,,"38,00","30,00","85,00","55,00","65,00","30,00",FALSE
563,Cofagrigus,Ghost,,"58,00","50,00","145,00","95,00","105,00","30,00",FALSE
564,Tirtouga,Water,Rock,"54,00","78,00","103,00","53,00","45,00","22,00",FALSE
565,Carracosta,Water,Rock,"74,00","108,00","133,00","83,00","65,00","32,00",FALSE
566,Archen,Rock,Flying,"55,00","112,00","45,00","74,00","45,00","70,00",FALSE
567,Archeops,Rock,Flying,"75,00","140,00","65,00","112,00","65,00","110,00",FALSE
568,Trubbish,Poison,,"50,00","50,00","62,00","40,00","62,00","65,00",FALSE
569,Garbodor,Poison,,"80,00","95,00","82,00","60,00","82,00","75,00",FALSE
570,Zorua,Dark,,"40,00","65,00","40,00","80,00","40,00","65,00",FALSE
571,Zoroark,Dark,,"60,00","105,00","60,00","120,00","60,00","105,00",FALSE
572,Minccino,Normal,,"55,00","50,00","40,00","40,00","40,00","75,00",FALSE
573,Cinccino,Normal,,"75,00","95,00","60,00","65,00","60,00","115,00",FALSE
574,Gothita,Psychic,,"45,00","30,00","50,00","55,00","65,00","45,00",FALSE
575,Gothorita,Psychic,,"60,00","45,00","70,00","75,00","85,00","55,00",FALSE
576,Gothitelle,Psychic,,"70,00","55,00","95,00","95,00","110,00","65,00",FALSE
577,Solosis,Psychic,,"45,00","30,00","40,00","105,00","50,00","20,00",FALSE
578,Duosion,Psychic,,"65,00","40,00","50,00","125,00","60,00","30,00",FALSE
579,Reuniclus,Psychic,,"110,00","65,00","75,00","125,00","85,00","30,00",FALSE
580,Ducklett,Water,Flying,"62,00","44,00","50,00","44,00","50,00","55,00",FALSE
581,Swanna,Water,Flying,"75,00","87,00","63,00","87,00","63,00","98,00",FALSE
582,Vanillite,Ice,,"36,00","50,00","50,00","65,00","60,00","44,00",FALSE
583,Vanillish,Ice,,"51,00","65,00","65,00","80,00","75,00","59,00",FALSE
584,Vanilluxe,Ice,,"71,00","95,00","85,00","110,00","95,00","79,00",FALSE
585,Deerling,Normal,Grass,"60,00","60,00","50,00","40,00","50,00","75,00",FALSE
586,Sawsbuck,Normal,Grass,"80,00","100,00","70,00","60,00","70,00","95,00",FALSE
587,Emolga,Electric,Flying,"55,00","75,00","60,00","75,00","60,00","103,00",FALSE
588,Karrablast,Bug,,"50,00","75,00","45,00","40,00","45,00","60,00",FALSE
589,Escavalier,Bug,Steel,"70,00","135,00","105,00","60,00","105,00","20,00",FALSE
590,Foongus,Grass,Poison,"69,00","55,00","45,00","55,00","55,00","15,00",FALSE
591,Amoonguss,Grass,Poison,"114,00","85,00","70,00","85,00","80,00","30,00",FALSE
592,Frillish,Water,Ghost,"55,00","40,00","50,00","65,00","85,00","40,00",FALSE
593,Jellicent,Water,Ghost,"100,00","60,00","70,00","85,00","105,00","60,00",FALSE
594,Alomomola,Water,,"165,00","75,00","80,00","40,00","45,00","65,00",FALSE
595,Joltik,Bug,Electric,"50,00","47,00","50,00","57,00","50,00","65,00",FALSE
596,Galvantula,Bug,Electric,"70,00","77,00","60,00","97,00","60,00","108,00",FALSE
597,Ferroseed,Grass,Steel,"44,00","50,00","91,00","24,00","86,00","10,00",FALSE
598,Ferrothorn,Grass,Steel,"74,00","94,00","131,00","54,00","116,00","20,00",FALSE
599,Klink,Steel,,"40,00","55,00","70,00","45,00","60,00","30,00",FALSE
600,Klang,Steel,,"60,00","80,00","95,00","70,00","85,00","50,00",FALSE
601,Klinklang,Steel,,"60,00","100,00","115,00","70,00","85,00","90,00",FALSE
602,Tynamo,Electric,,"35,00","55,00","40,00","45,00","40,00","60,00",FALSE
603,Eelektrik,Electric,,"65,00","85,00","70,00","75,00","70,00","40,00",FALSE
604,Eelektross,Electric,,"85,00","115,00","80,00","105,00","80,00","50,00",FALSE
